Product_ID,Product_Name,SKU_Code,Batch_Number,Manufacture_Date,Expiry_Date,Quantity_Available,Unit_Weight (kg),Unit_Volume (L),Fragile_Flag,Temp_Sensitive_Flag
DEW-1000-B31-795,VeeWormex Plus,SKU-1000,B31,2023-09-24,2025-09-13,51,0.6,0.25,0,0
IMM-1001-B59-384,VeeMune-L,SKU-1001,B59,2023-10-12,2024-08-07,50,1.0,0.6,0,1
SUP-1002-B44-434,VeeCal-D Pet,SKU-1002,B44,2025-04-05,2026-09-27,114,2.5,1.2,0,0
ANT-1003-B28-789,VeeCef Injection 1gm,SKU-1003,B28,2024-04-19,2025-06-13,74,3.0,1.5,1,1
VIT-1004-B54-285,VeeVit-L Oral,SKU-1004,B54,2022-12-05,2023-11-30,199,0.5,0.3,0,0
TOP-1005-B43-854,VeeTherm Gel,SKU-1005,B43,2024-05-20,2026-01-10,93,1.8,1.0,1,0
TOP-1006-B41-854,VeeTherm Gel,SKU-1006,B41,2025-04-12,2026-12-03,69,1.8,1.0,1,0
VIT-1007-B49-285,VeeVit-L Oral,SKU-1007,B49,2025-01-10,2026-01-05,152,0.5,0.3,0,0
ANT-1008-B44-789,VeeCef Injection 1gm,SKU-1008,B44,2022-07-23,2023-09-16,114,3.0,1.5,1,1
DIG-1009-B17-185,VeeLac Bolus,SKU-1009,B17,2023-10-12,2025-02-03,180,1.2,0.7,0,0
SUP-1010-B75-434,VeeCal-D Pet,SKU-1010,B75,2022-10-21,2024-04-13,63,2.5,1.2,0,0
DIG-1011-B88-185,VeeLac Bolus,SKU-1011,B88,2023-04-09,2024-08-01,198,1.2,0.7,0,0
SUP-1012-B41-434,VeeCal-D Pet,SKU-1012,B41,2023-09-09,2025-03-02,139,2.5,1.2,0,0
TOP-1013-B51-854,VeeTherm Gel,SKU-1013,B51,2023-07-26,2025-03-17,155,1.8,1.0,1,0
IMM-1014-B84-384,VeeMune-L,SKU-1014,B84,2024-01-04,2024-10-30,136,1.0,0.6,0,1
ANT-1015-B51-295,VeeOxy-4000,SKU-1015,B51,2025-04-29,2026-06-23,138,2.8,1.4,1,1
IMM-1016-B90-384,VeeMune-L,SKU-1016,B90,2025-06-08,2026-04-04,144,1.0,0.6,0,1
ANT-1017-B23-295,VeeOxy-4000,SKU-1017,B23,2025-05-31,2026-07-25,193,2.8,1.4,1,1
DIG-1018-B25-185,VeeLac Bolus,SKU-1018,B25,2023-07-24,2024-11-15,137,1.2,0.7,0,0
ANT-1019-B72-789,VeeCef Injection 1gm,SKU-1019,B72,2024-04-24,2025-06-18,85,3.0,1.5,1,1
IMM-1020-B96-384,VeeMune-L,SKU-1020,B96,2023-04-18,2024-02-12,126,1.0,0.6,0,1
DEW-1021-B76-795,VeeWormex Plus,SKU-1021,B76,2022-11-20,2024-11-09,184,0.6,0.25,0,0
DIG-1022-B98-185,VeeLac Bolus,SKU-1022,B98,2024-05-20,2025-09-12,60,1.2,0.7,0,0
SUP-1023-B72-434,VeeCal-D Pet,SKU-1023,B72,2024-11-18,2026-05-12,97,2.5,1.2,0,0
SUP-1024-B89-434,VeeCal-D Pet,SKU-1024,B89,2023-11-07,2025-04-30,140,2.5,1.2,0,0
ANT-1025-B60-295,VeeOxy-4000,SKU-1025,B60,2024-06-05,2025-07-30,91,2.8,1.4,1,1
SUP-1026-B98-434,VeeCal-D Pet,SKU-1026,B98,2024-06-07,2025-11-29,179,2.5,1.2,0,0
TOP-1027-B25-854,VeeTherm Gel,SKU-1027,B25,2024-08-05,2026-03-28,154,1.8,1.0,1,0
ANT-1028-B91-295,VeeOxy-4000,SKU-1028,B91,2024-03-08,2025-05-02,62,2.8,1.4,1,1
DEW-1029-B33-795,VeeWormex Plus,SKU-1029,B33,2024-10-14,2026-10-04,166,0.6,0.25,0,0
IMM-1030-B15-384,VeeMune-L,SKU-1030,B15,2025-05-01,2026-02-25,172,1.0,0.6,0,1
IMM-1031-B49-384,VeeMune-L,SKU-1031,B49,2024-04-19,2025-02-13,168,1.0,0.6,0,1
ANT-1032-B55-295,VeeOxy-4000,SKU-1032,B55,2024-11-23,2026-01-17,106,2.8,1.4,1,1
DEW-1033-B84-795,VeeWormex Plus,SKU-1033,B84,2025-01-11,2027-01-01,136,0.6,0.25,0,0
VIT-1034-B86-285,VeeVit-L Oral,SKU-1034,B86,2023-05-26,2024-05-20,64,0.5,0.3,0,0
IMM-1035-B77-384,VeeMune-L,SKU-1035,B77,2024-11-06,2025-09-02,179,1.0,0.6,0,1
SUP-1036-B28-434,VeeCal-D Pet,SKU-1036,B28,2022-11-04,2024-04-27,182,2.5,1.2,0,0
VIT-1037-B38-285,VeeVit-L Oral,SKU-1037,B38,2024-06-30,2025-06-25,74,0.5,0.3,0,0
DIG-1038-B72-185,VeeLac Bolus,SKU-1038,B72,2023-02-14,2024-06-08,81,1.2,0.7,0,0
DEW-1039-B55-795,VeeWormex Plus,SKU-1039,B55,2023-03-31,2025-03-20,170,0.6,0.25,0,0
